旅,たび,"
部隊,ぶたい,"
to collect; to gather; to get together; to complete (a collection)
to arrange; to put in order; to prepare; to get ready
to make uniform; to make even; to match"
土地,とち,"
preparation; arrangements; provision; getting ready; laying out (e.g. a meal)"
布,ぬの,"
optimism; taking an optimistic view"
相性,あいしょう,"
disquieting; threatening; turbulent; restless; unsettled; disturbing"
積む,つ,"
perfection; flawlessness"
絹糸,けんし,"
anyhow; in any case; at any rate; after all; at all; no matter what
at best; at most"
追加,ついか,"
reliable; trustworthy
hopeful; promising"
揃える,そろ,"
shape; form; figure; posture; pose
appearance
state; situation
suitable; fit; reasonable
about"
用意,ようい,"
last look; farewell look"
楽観,らっかん,"
degree; extent; amount; balance; state; condition
(health) condition; state of health
adjustment; moderation; regulation
addition and subtraction
slight sign of ...; slight state of ...
just right for ..."
不穏,ふおん,"
master (of a house, shop, etc.)
husband
sir; boss; master; governor
patron of a mistress, geisha, bar or nightclub hostess; sugar daddy
alms; almsgiving; almsgiver
檀那 【だんな】"
万全,ばんぜん,"
full dress; formal dress; uniform
Formal wear"
どうせ,,"
to touch; to feel
to get involved (with); to approach
to be harmful to; to hinder; to interfere with; to irritate"
頼もしい,たの,"
consent; agreement; acceptance
understanding; satisfaction (e.g. with an explanation); being convinced"
格好,かっこう,"
visit for no reason; go on fool's errand"
見納め,みおさ,"
to step on; to tread on; to trample on
to set foot on (e.g. foreign soil); to stand on; to visit
to experience; to undergo
to follow (rules, principles, etc.); to go through (e.g. formalities); to complete
to estimate; to guess; to judge; to value; to appraise
to rhyme
to succeed to (e.g. the throne)"
加減,かげん,"
to be mixed; to be blended with; to associate with; to mingle with; to join"
旦那,だんな,"
to stare (at); to gaze (at); to look hard (at); to watch intently; to fix one's eyes (on)"
正装,せいそう,"
deterioration (in quality, performance, etc.); degradation; worsening
(visible) aging; becoming unattractive (due to aging)
Deterioration"
触る,さわ,"
(photographic) subject"
納得,なっとく,"
suitable; proper; appropriate; adequate; fit; fair
perfunctory; half-minded; sloppy; lazy; careless; noncommittal; unreliable; irresponsible
テキトー"
無駄足,むだあし,"
dozens; scores of; decades"
取り込み中,とこちゅう,"
image; picture; portrait
Image"
踏む,ふ,"
stroke (of a kanji, etc.)
劃 【かく】"
混ざる,ま,"
fixing (in place); being fixed (in place); securing; anchoring; fastening down
fixing (e.g. salary, capital); keeping the same
fixation (histology)
user name (on an online forum like 2ch where the majority of users post anonymously)
user of an online handle (instead of posting anonymously)
Fixation"
見つめる,み,"
to remove; to take off; to detach; to unfasten; to undo
to drop (e.g. from a team); to remove (from a position); to exclude; to expel
to leave (e.g. one's seat); to go away from; to step out; to slip away
to dodge (a question, blow, etc.); to evade; to sidestep; to avoid (e.g. peak season)
to miss (a target, chance, punch, etc.)"
劣化,れっか,"
dark place; unlit spot; darkness"
被写体,ひしゃたい,"
carelessly; thoughtlessly; inadvertently
ウッカリ"
適当,てきとう,"
work; operation; manufacturing; fatigue duty
Occupation"
数十,すうじゅう,"
(photographic) exposure"
